13103,"115  ","1057319","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(19ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（１９階）",0,0,0,0,2,6
13103,"115  ","1057320","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(20ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２０階）",0,0,0,0,2,6
13103,"116  ","1057321","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(21ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２１階）",0,0,0,0,2,6
13103,"116  ","1057322","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(22ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２２階）",0,0,0,0,2,6
13103,"117  ","1057323","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(23ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２３階）",0,0,0,0,2,6
13103,"117  ","1057324","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(24ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２４階）",0,0,0,0,2,6
13103,"118  ","1057325","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(25ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２５階）",0,0,0,0,2,6
13103,"118  ","1057326","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(26ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２６階）",0,0,0,0,2,6
13103,"119  ","1057327","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(27ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２７階）",0,0,0,0,2,6
13103,"119  ","1057328","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(28ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２８階）",0,0,0,0,2,6
13103,"120  ","1057329","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(29ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（２９階）",0,0,0,0,2,6
13103,"120  ","1057330","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(30ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３０階）",0,0,0,0,2,6
13103,"121  ","1057331","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(31ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３１階）",0,0,0,0,2,6
13103,"121  ","1057332","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(32ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３２階）",0,0,0,0,2,6
13103,"122  ","1057333","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(33ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３３階）",0,0,0,0,2,6
13103,"122  ","1057334","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(34ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３４階）",0,0,0,0,2,6
13103,"123  ","1057335","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(35ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３５階）",0,0,0,0,2,6
13103,"123  ","1057336","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(36ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３６階）",0,0,0,0,2,6
13103,"124  ","1057337","ﾄｳｷｮｳﾄ","ﾐﾅﾄｸ","ﾋｶﾞｼｼﾝﾊﾞｼﾄｳｷｮｳｼｵﾄﾞﾒﾋﾞﾙﾃﾞｨﾝｸﾞ(37ｶｲ)","東京都","港区","東新橋東京汐留ビルディング（３７階）",0,0,0,0,2,6
23219,"485  ","4850828","ｱｲﾁｹﾝ","ｺﾏｷｼ","ｺﾏﾂｼﾞ","愛知県","小牧市","小松寺",0,0,0,0,2,6
23219,"485  ","4850827","ｱｲﾁｹﾝ","ｺﾏｷｼ","ﾌﾐﾂ","愛知県","小牧市","文津",0,0,0,0,2,6
27202,"596  ","5960827","ｵｵｻｶﾌ","ｷｼﾜﾀﾞｼ","ｶﾐﾏﾂﾁｮｳ","大阪府","岸和田市","上松町",0,0,0,0,2,6
38204,"796  ","7960081","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ｱｻｼｵﾊﾞｼ","愛媛県","八幡浜市","朝汐橋",0,0,0,0,2,6
38204,"796  ","7960086","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ｱｻﾋﾏﾁ","愛媛県","八幡浜市","旭町",0,0,0,0,2,6
38204,"796  ","7960022","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ｴｷﾏｴ","愛媛県","八幡浜市","駅前",0,0,0,0,2,6
38204,"796  ","7960024","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ｼﾞﾝｸﾞｳﾄﾞｵﾘ","愛媛県","八幡浜市","神宮通",0,0,0,0,2,6
38204,"796  ","7960071","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ｼﾝﾏﾁ","愛媛県","八幡浜市","新町",0,0,0,0,2,6
38204,"796  ","7960035","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ｽｻｷ","愛媛県","八幡浜市","須崎",0,0,0,0,2,6
38204,"796  ","7960083","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾀﾞｲｺｸﾏﾁ","愛媛県","八幡浜市","大黒町",0,0,0,0,2,6
38204,"796  ","7960078","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾁｭｳｵｳﾏｰｹｯﾄ","愛媛県","八幡浜市","中央マーケット",0,0,0,0,2,6
38204,"796  ","7960085","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾃﾝｼﾞﾝﾄﾞｵﾘ","愛媛県","八幡浜市","天神通",0,0,0,0,2,6
38204,"796  ","7960044","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾆｼｵｵﾐﾔﾁｮｳ","愛媛県","八幡浜市","西近江屋町",0,0,0,0,2,6
38204,"796  ","7960045","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾆｼｵｵﾐﾔﾁｮｳﾊﾏﾄﾞｵﾘ","愛媛県","八幡浜市","西近江屋町浜通",0,0,0,0,2,6
38204,"796  ","7960034","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾊﾏﾀﾞﾏﾁ","愛媛県","八幡浜市","浜田町",0,0,0,0,2,6
38204,"796  ","7960068","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾊﾏﾉﾁｮｳ","愛媛県","八幡浜市","浜之町",0,0,0,0,2,6
38204,"796  ","7960043","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾋｶﾞｼｵｵﾐﾔﾁｮｳ","愛媛県","八幡浜市","東近江屋町",0,0,0,0,2,6
38204,"796  ","7960021","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾋﾉｷﾀﾞﾆ","愛媛県","八幡浜市","桧谷",0,0,0,0,2,6
38204,"796  ","7960066","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾎﾝﾏﾁ","愛媛県","八幡浜市","本町",0,0,0,0,2,6
38204,"796  ","7960052","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾏﾂﾓﾄﾁｮｳ","愛媛県","八幡浜市","松本町",0,0,0,0,2,6
38204,"796  ","7960026","ｴﾋﾒｹﾝ","ﾔﾜﾀﾊﾏｼ","ﾔﾉﾏﾁ(ｿﾉﾀ)","愛媛県","八幡浜市","矢野町（その他）",1,0,0,0,2,6
40305,"81112","8111200","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","福岡県","筑紫郡那珂川町","以下に掲載がない場合",0,0,0,0,2,6
40305,"81112","8111224","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｱﾝﾄｸ","福岡県","筑紫郡那珂川町","安徳",0,0,0,0,2,6
40305,"81112","8111233","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｲﾁﾉｾ","福岡県","筑紫郡那珂川町","市ノ瀬",0,0,0,0,2,6
40305,"81112","8111211","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｲﾏﾐﾂ","福岡県","筑紫郡那珂川町","今光",0,0,1,0,2,6
40305,"81112","8111241","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｳｼﾛﾉ","福岡県","筑紫郡那珂川町","後野",0,0,0,0,2,6
40305,"81112","8111232","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｳﾒｶﾞﾈ","福岡県","筑紫郡那珂川町","埋金",0,0,0,0,2,6
40305,"81112","8111255","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｴｺ","福岡県","筑紫郡那珂川町","恵子",0,0,1,0,2,6
40305,"81112","8111221","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｵｳﾂｶﾀﾞｲ","福岡県","筑紫郡那珂川町","王塚台",0,0,1,0,2,6
40305,"81112","8111201","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｶﾀﾅﾜ","福岡県","筑紫郡那珂川町","片縄",0,0,1,0,2,6
40305,"81112","8111203","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｶﾀﾅﾜｷﾀ","福岡県","筑紫郡那珂川町","片縄北",0,0,1,0,2,6
40305,"81112","8111202","ﾌｸｵｶｹﾝ","ﾁｸｼｸﾞﾝﾅｶｶﾞﾜﾏﾁ","ｶﾀﾅﾜﾆｼ","福岡県","筑紫郡那珂川町","片縄西",0,0,1,0,2,6
