01101,"ﾄﾞｳｼﾝｻ-ﾋﾞｽｾﾝﾀ- ｵﾝﾄﾅｼﾞｷﾞﾖｳﾌﾞ","道新サービスセンター　オントナ事業部","北海道","札幌市中央区","大通西","１８丁目１－３道新西ビル","0608770","060  ","札幌中央",0,0,5
01103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾑﾗ","株式会社　キムラ","北海道","札幌市東区","北六条東","２丁目１","0608576","060  ","札幌中央",0,0,5
01204,"ﾎﾂｶｲﾄﾞｳﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｻﾋｶﾜｼﾃﾝ","北海道電力　株式会社　旭川支店","北海道","旭川市","四条通","１２丁目（旭川中央郵便局私書箱第４０号）","0708678","07091","旭川中央",1,0,5
01337,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞｴｲﾃﾞﾊﾞｲｽ ﾊｺﾀﾞﾃﾁｸ","株式会社　ジェイデバイス　函館地区","北海道","亀田郡七飯町","字中島","１４５番地","0411196","04111","七飯",0,0,5
02201,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｵﾓﾘｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　青森営業所","青森県","青森市","本町","１丁目３－９","0308580","030  ","青森中央",0,0,5
02206,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄﾜﾀﾞｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　十和田営業所","青森県","十和田市","西三番町","７－１","0348565","034  ","十和田",0,0,5
03201,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾓﾘｵｶｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　盛岡営業所","岩手県","盛岡市","紺屋町","１－２５","0208521","020  ","盛岡中央",0,0,5
04101,"ｾｷﾜﾌﾄﾞｳｻﾝﾄｳﾎｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","積和不動産東北　株式会社","宮城県","仙台市青葉区","本町","２丁目１６－１０ＮＢＦ仙台本町ビル","9808431","980  ","仙台中央",0,0,5
04101,"ﾐﾂｲﾌﾞﾂｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳﾎｸｼｼﾔ","三井物産　株式会社　東北支社","宮城県","仙台市青葉区","一番町","３丁目７－１（仙台中央郵便局私書箱第９１号）","9808685","98091","仙台中央",1,0,5
04215,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌﾙｶﾜｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　古川営業所","宮城県","大崎市","古川中里","１丁目４－１１","9896192","98961","古川",0,0,5
05201,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｷﾀｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　秋田営業所","秋田県","秋田市","中通","２丁目１－１１","0108588","010  ","秋田中央",0,0,5
07201,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｸｼﾏｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　福島営業所","福島県","福島市","置賜町","２－３５","9608522","960  ","福島中央",0,0,5
09210,"ｷﾔﾉﾝﾃﾞﾝｼｶﾝﾃﾞﾊﾞｲｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","キャノン電子管デバイス　株式会社","栃木県","大田原市","下石上","１３８５番地","3248550","324  ","大田原",0,0,5
12441,"ｻﾝｲｸｶﾞｸｲﾝﾀﾝｷﾀﾞｲｶﾞｸ","三育学院短期大学","千葉県","夷隅郡大多喜町","久我原","１５００","2980297","29802","大多喜",0,0,5
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｺﾝｸﾞﾚ","株式会社　コングレ","東京都","千代田区","麹町","５丁目１","1028481","102  ","麹町",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊｾｺｳｱ-ﾍﾞｽﾄ","株式会社　長谷工アーベスト","東京都","港区","芝","２－７－１７","1058545","105  ","芝",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾔｸﾙﾄﾎﾝｼﾔ","株式会社　ヤクルト本社","東京都","港区","東新橋","１丁目１－１９","1058660","105  ","銀座",0,0,5
13104,"ｻﾝｼﾝﾄｳｴｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","三信東栄　株式会社","東京都","新宿区","西新宿","１丁目６－１新宿エルタワー１０Ｆ","1631537","160  ","新宿",0,0,5
13104,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾆﾎﾝﾌﾞﾝｶｾﾝﾀ-","株式会社　日本文化センター","東京都","新宿区","高田馬場","１丁目２９－８（新宿北郵便局私書箱第２００３号）","1698711","16992","新宿北",1,0,5
13104,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌﾟﾗﾝﾈﾙ","株式会社　プランネル","東京都","新宿区","高田馬場","１丁目２９－８（新宿北郵便局私書箱第２０７７号）","1698722","16992","新宿北",1,0,5
14113,"ｷﾖｳｾﾗ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏﾅｶﾔﾏｼﾞｷﾞﾖｳｼﾖ","京セラ　株式会社　横浜中山事業所","神奈川県","横浜市緑区","中山町","４０２－１","2268512","226  ","緑",0,0,5
15103,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾆｲｶﾞﾀｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　新潟営業所","新潟県","新潟市中央区","上大川前通５番町","８４（新潟中郵便局私書箱第５号）","9518633","951  ","新潟中",1,0,5
15106,"ﾄﾖﾀﾌﾞﾋﾝﾆｲｶﾞﾀｷﾖｳﾊﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","トヨタ部品新潟共販　株式会社","新潟県","新潟市南区","北田中","７８０－１３","9501297","95012","白根",0,0,5
15210,"ﾄｳﾎｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｵｶﾏﾁｴｲｷﾞﾖｳｼﾖ","東北電力　株式会社　十日町営業所","新潟県","十日町市","本町","一丁目上１番地５","9488504","948  ","十日町",0,0,5
18201,"ｴﾓﾘｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","江守商事　株式会社","福井県","福井市","毛矢","１丁目６－２３","9188510","918  ","福井南",0,0,5
18205,"ｵｵﾉｶﾝｲｻｲﾊﾞﾝｼﾖ","大野簡易裁判所","福井県","大野市","城町","１番５号","9128524","912  ","大野",0,0,5
22101,"ﾐﾂｲﾌﾞﾂｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ｼｽﾞｵｶｼﾃﾝ","三井物産　株式会社　静岡支店","静岡県","静岡市葵区","追手町","８－１（静岡中央郵便局私書箱第２４４号）","4208740","420  ","静岡中央",1,0,5
23105,"ﾐﾂｲﾌﾞﾂｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾕｳﾌﾞｼｼﾔ","三井物産　株式会社　中部支社","愛知県","名古屋市中村区","名駅南","１丁目１６－２１","4508677","450  ","名古屋西",0,0,5
24201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｵﾔﾂｶﾝﾊﾟﾆ-","株式会社　おやつカンパニー","三重県","津市","一志町田尻","４２０","5152592","51525","一志",0,0,5
27114,"ｻﾝﾃﾝｾｲﾔｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","参天製薬　株式会社","大阪府","大阪市東淀川区","下新庄","３丁目９－１９（東淀川郵便局私書箱第１号）","5338651","533  ","東淀川",1,0,5
27127,"ﾔﾝﾏ- ｶﾌﾞｼｷｶﾞｲｼﾔ","ヤンマー　株式会社","大阪府","大阪市北区","鶴野町","１－９梅田ゲートタワー","5308311","530  ","大阪北",0,0,5
27208,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾｲｻ","株式会社　セイサ","大阪府","貝塚市","脇浜","４丁目１６番１号","5978555","597  ","貝塚",0,0,5
28223,"ﾀﾝﾊﾞｼﾔｸｼﾖ ｶｲﾊﾞﾗｼｼﾖ","丹波市役所　柏原支所","兵庫県","丹波市","柏原町柏原","１","6693396","66933","丹波",0,0,5
31201,"ﾄﾂﾄﾘｻﾝﾖｳﾃﾞﾝｷ ｶﾌﾞｼｷｶﾞｲｼﾔ","鳥取三洋電機　株式会社","鳥取県","鳥取市","南吉方","３丁目２０１","6808634","680  ","鳥取中央",0,0,5
31201,"ﾁﾕｳｺﾞｸﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄﾂﾄﾘｴｲｷﾞﾖｳｼﾖ","中国電力　株式会社　鳥取営業所","鳥取県","鳥取市","新品治町","１－６","6808622","68091","鳥取中央",0,0,5
32201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾌｴﾑｻﾝｲﾝ","株式会社　エフエム山陰","島根県","松江市","殿町","３８３山陰中央ビル内","6908508","690  ","松江中央",0,0,5
