14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｲﾝﾃﾂｸ","株式会社　インテック","神奈川県","横浜市神奈川区","新浦島町","１丁目１－２５","2218520","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｲﾝﾃﾂｸｺｽﾓｾﾝﾀ-","株式会社　インテックコスモセンター","神奈川県","横浜市神奈川区","新浦島町","１丁目１－２５テクノウェイブ１００","2218522","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅｾｷﾕﾆｵﾝ","株式会社　カナセキユニオン","神奈川県","横浜市神奈川区","金港町","５番地１０","2218588","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｽﾙｶﾞｺ-ﾎﾟﾚ-ｼﾖﾝ","株式会社　スルガコーポレーション","神奈川県","横浜市神奈川区","台町","１５番地１","2218666","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｿｳｹﾝｼﾔ","株式会社　創健社","神奈川県","横浜市神奈川区","片倉","２丁目３７番１１号","2218741","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊﾘﾏﾋﾞｽﾃﾑ","株式会社　ハリマビステム","神奈川県","横浜市神奈川区","鶴屋町","２丁目２３番地２","2218703","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾍﾞﾘﾃ","株式会社　ベリテ","神奈川県","横浜市神奈川区","鶴屋町","３丁目３３番８号アサヒビルヂング８階","2218705","221  ","横浜中央",0,0,5
14102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾘｺ- ﾖｺﾊﾏｹﾝｼﾕｳｼﾞﾖ","株式会社　リコー　横浜研修所","神奈川県","横浜市神奈川区","高島台","１２－３","2218688","221  ","横浜中央",0,0,5
14102,"ｷﾘﾝｴﾝｼﾞﾆｱﾘﾝｸﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","キリンエンジニアリング　株式会社","神奈川県","横浜市神奈川区","新浦島町","１丁目１－２５","2218558","221  ","横浜中央",0,0,5
14102,"ｸｽﾊﾗﾕｿｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","楠原輸送　株式会社","神奈川県","横浜市神奈川区","東神奈川","２丁目４３－１","2218511","221  ","横浜中央",0,0,5
14102,"ｺﾏﾂﾌﾞﾂﾘﾕｳ ｶﾌﾞｼｷｶｲｼﾔ","コマツ物流　株式会社","神奈川県","横浜市神奈川区","金港町","３－１コンカード横浜８Ｆ","2218540","221  ","横浜中央",0,0,5
