10201,"ﾏｴﾊﾞｼｾｲﾘﾖｳｺｳﾄｳｶﾞﾂｺｳ","前橋清陵高等学校","群馬県","前橋市","文京町","２－２０－３","3718573","371  ","前橋中央",0,0,1
10201,"ﾏｴﾊﾞｼﾁﾎｳｻｲﾊﾞﾝｼﾖ","前橋地方裁判所","群馬県","前橋市","大手町","３－１－３４","3718531","371  ","前橋中央",0,0,1
10201,"ﾏｴﾊﾞｼﾁﾎｳﾎｳﾑｷﾖｸ","前橋地方法務局","群馬県","前橋市","大手町","２－１０－５","3718535","371  ","前橋中央",0,0,1
10201,"ﾐｽﾞﾎｼﾝﾀｸｷﾞﾝｺｳ ﾏｴﾊﾞｼｼﾃﾝ","みずほ信託銀行　前橋支店","群馬県","前橋市","本町","２－１－１４（前橋中央郵便局私書箱第３６号）","3718636","371  ","前橋中央",1,0,1
10201,"ﾏｴﾊﾞｼｼ ｵｵｺﾞｼｼﾖ","前橋市　大胡支所","群馬県","前橋市","堀越町","１１１５","3710292","37102","大胡",0,0,1
10201,"ﾏｴﾊﾞｼｼ ｶｽｶﾜｼｼﾖ","前橋市　粕川支所","群馬県","前橋市","粕川町西田面","２１６－１","3710293","37102","大胡",0,0,1
10205,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｵｵﾀﾌﾀﾊﾞｶﾝﾄﾘ-ｸﾗﾌﾞ","株式会社　太田双葉カントリークラブ","群馬県","太田市","西長岡町","１５２４番地","3738561","373  ","太田",0,0,1
10205,"ｸﾞﾝﾏｹﾝﾄｳﾌﾞｷﾞﾖｳｾｲｼﾞﾑｼﾖ","群馬県東部行政事務所","群馬県","太田市","西本町","６０－２７","3738509","373  ","太田",0,0,1
10205,"ｸﾞﾝﾏｹﾝﾄｳﾌﾞｹﾝｾﾞｲｼﾞﾑｼﾖ","群馬県東部県税事務所","群馬県","太田市","西本町","６０－２７","3738508","373  ","太田",0,0,1
10205,"ｺﾑﾍﾞﾂｸｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","コムベックス　株式会社","群馬県","太田市","清原町","５番地の１２","3738567","373  ","太田",0,0,1
10205,"ﾌｼﾞｼﾞﾕｳｺｳｷﾞﾖｳｹﾝｺｳﾎｹﾝｸﾐｱｲ ｵｵﾀｷﾈﾝﾋﾞﾖｳｲﾝ","富士重工業健康保険組合　太田記念病院","群馬県","太田市","大島町","４５５番地１","3738585","373  ","太田",0,0,1
10205,"ﾓﾒﾝﾃｲﾌﾞ･ﾊﾟﾌｵ-ﾏﾝｽ･ﾏﾃﾘｱﾙｽﾞ･ｼﾞﾔﾊﾟﾝ ｺﾞｳﾄﾞｳｶｲｼﾔ ｵｵﾀｼﾞｷﾞﾖｳｼﾖ","モメンティブ・パフォーマンス・マテリアルズ・ジャパン　合同会社　太田事業所","群馬県","太田市","西新町","１３３番地","3738505","373  ","太田",0,0,1
11104,"ｻｲﾀﾏｹﾝｵｵﾐﾔﾋｶﾞｼｹｲｻﾂｼﾖ","埼玉県大宮東警察署","埼玉県","さいたま市見沼区","風渡野","３５番地１","3378501","337  ","大宮",0,0,1
11206,"ｴｽｲ-ｱｲｵﾌﾟﾃｲﾌﾛﾝﾃｲｱ ｶﾌﾞｼｷｶﾞｲｼﾔ ｻｲﾀﾏｼﾞｷﾞﾖｳｼﾖ","ＳＥＩオプティフロンティア　株式会社　埼玉事業所","埼玉県","行田市","埼玉","４１２５","3618604","361  ","行田",0,0,1
11218,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾕ-ｴ-ｼ-ｼﾞｴ- ﾌｶﾔｾｲｿﾞｳｼﾖ","株式会社　ＵＡＣＪ　深谷製造所","埼玉県","深谷市","上野台","１３５１","3668511","366  ","深谷",0,0,1
12101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾊﾞﾔｸﾋﾝ","株式会社　千葉薬品","千葉県","千葉市中央区","問屋町","１番３５号ポートサイドタワー２８階","2608564","260  ","千葉中央",0,0,1
12219,"ﾌｼﾞｻﾂｼ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾊﾞｺｳｼﾞﾖｳ","不二サッシ　株式会社　千葉工場","千葉県","市原市","八幡海岸通","１３","2908610","290  ","市原",0,0,1
