13101,"ｼﾔﾀﾞﾝﾎｳｼﾞﾝ ﾆﾎﾝﾄﾞｳﾛｷﾖｳｶｲ","社団法人　日本道路協会","東京都","千代田区","霞が関","３丁目３－１","1008955","100  ","銀座",0,0,5
13101,"ｼﾔﾝｸﾞﾘ･ﾗﾎﾃﾙﾄｳｷﾖｳ","シャングリ・ラホテル東京","東京都","千代田区","丸の内","１丁目８丸の内トラストタワー本館","1008283","100  ","銀座",0,0,5
13101,"ﾆﾂﾎﾟﾝｽｲｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","日本水産　株式会社","東京都","千代田区","大手町","２－６－２","1008686","100  ","銀座",0,0,5
13101,"ﾌﾙｶﾜﾃﾞﾝｷｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","古河電気工業　株式会社","東京都","千代田区","丸の内","２丁目２－３","1008322","100  ","銀座",0,0,5
13101,"ﾐﾂﾋﾞｼｼﾞｼﾖｼﾞﾕｳﾀｸﾊﾝﾊﾞｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","三菱地所住宅販売　株式会社","東京都","千代田区","丸の内","２丁目６番１号","1008348","100  ","銀座",0,0,5
13101,"ﾒﾘﾙﾘﾝﾁｼﾖｳｹﾝｶﾞｲｼﾔ ﾄｳｷﾖｳｼﾃﾝ","メリルリンチ証券会社　東京支店","東京都","千代田区","大手町","１丁目１－３","1008180","100  ","銀座",0,0,5
13101,"ｷﾖｸﾄｳﾎﾞｳｴｷ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎﾝﾃﾝ","極東貿易　株式会社　本店","東京都","千代田区","大手町","２丁目２－１（銀座郵便局私書箱第３３０号）","1008670","10091","銀座",1,0,5
13101,"ｱﾄﾞﾃﾞﾝｼｺｳｷﾞﾖｳ","（株）　亜土電子工業","東京都","千代田区","外神田","２丁目１８－１０","1018991","101  ","神田",0,0,5
13101,"ｵｵﾊﾗﾎﾞｷｶﾞﾂｺｳ","大原簿記学校","東京都","千代田区","西神田","１丁目３－６－８Ｆ","1018352","101  ","神田",0,0,5
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾞﾝﾘﾝ","株式会社　ゼンリン","東京都","千代田区","神田神保町","２丁目２共同ビル","1018418","101  ","神田",0,0,5
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾂｸ","株式会社　ディック","東京都","千代田区","神田須田町","１丁目２３（神田郵便局私書箱第２号）","1018667","101  ","神田",1,0,5
13101,"ｼﾕﾌﾉﾄﾓｼﾔ","主婦の友社","東京都","千代田区","神田駿河台","２丁目９－６","1018911","101  ","神田",0,0,5
13101,"ｼﾝｾｲｼﾔ","（株）　新声社","東京都","千代田区","神田神保町","１丁目２６－１","1018935","101  ","神田",0,0,5
13101,"ﾄｳｷﾖｳｾ-ﾙｽ･ﾌﾟﾛﾃﾞﾕ-ｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","東京セールス・プロデュース　株式会社","東京都","千代田区","神田小川町","１丁目１１（銀座郵便局私書箱第９９０号）","1008640","101  ","銀座",1,0,5
13101,"ｴｽｴｲﾋﾟ-ｼﾞﾔﾊﾟﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＳＡＰジャパン　株式会社","東京都","千代田区","麹町","１－６－４","1028022","102  ","麹町",0,0,5
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｻﾝｷﾞﾖｳｷﾖｳｲｸｾﾝﾀ-","株式会社　産業教育センター","東京都","千代田区","飯田橋","４丁目４－１５","1028103","102  ","麹町",0,0,5
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｼﾞﾐｼﾖﾎﾞｳ","株式会社　富士見書房","東京都","千代田区","富士見","２－１３－３","1028144","102  ","麹町",0,0,5
13102,"ﾆﾂﾎﾟﾝｷﾞﾝｺｳ","日本銀行","東京都","中央区","日本橋本石町","２丁目１－１（銀座郵便局私書箱第２０３号）","1008630","10091","銀座",1,0,5
13102,"(ｶﾌﾞ) ﾀｶｼﾏﾔ","株式会社　高島屋","東京都","中央区","日本橋","２丁目４－１","1038265","103  ","日本橋",0,0,5
