13101,"ｼﾔﾝｸﾞﾘ･ﾗﾎﾃﾙﾄｳｷﾖｳ","シャングリ・ラホテル東京","東京都","千代田区","丸の内","１丁目８－３丸の内トラストタワー本館","1008283","100  ","銀座",0,0,1
13101,"ﾄｳｷﾖｳﾁﾕｳｵｳｷﾖｸ ｷﾖｳﾂｳｼﾞﾑｾﾝﾀ-","東京中央局　共通事務センター","東京都","千代田区","丸の内","２丁目７－２","1008791","100  ","銀座",0,0,1
13101,"ﾌﾙｶﾜﾃﾞﾝｷｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","古河電気工業　株式会社","東京都","千代田区","丸の内","２丁目２－３丸の内仲通りビル","1008322","100  ","銀座",0,0,1
13101,"ﾐﾂﾋﾞｼｼﾞｼﾖ ｶﾌﾞｼｷｶﾞｲｼﾔ","三菱地所　株式会社","東京都","千代田区","大手町","１－６－１","1008133","100  ","銀座",0,0,1
13101,"ﾓﾘ･ﾊﾏﾀﾞﾏﾂﾓﾄﾎｳﾘﾂｼﾞﾑｼﾖ","森・濱田松本法律事務所","東京都","千代田区","丸の内","１丁目６－５","1008222","100  ","銀座",0,0,1
13101,"ｵｵﾊﾗﾎﾞｷｶﾞﾂｺｳ","大原簿記学校","東京都","千代田区","西神田","２丁目３－８谷口ビル","1018352","101  ","神田",0,0,1
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾞﾝﾘﾝ","株式会社　ゼンリン","東京都","千代田区","西神田","１－１－１","1018418","101  ","神田",0,0,1
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾂｸ","株式会社　デック","東京都","千代田区","神田須田町","１丁目２３（神田郵便局私書箱第２号）","1018667","101  ","神田",1,0,1
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｸﾘｷﾎﾝﾃﾝ","株式会社　徳力本店","東京都","千代田区","鍛冶町","２丁目９番１２号","1018548","101  ","神田",0,0,1
13101,"ｼﾕﾌﾉﾄﾓｼﾔ","主婦の友社","東京都","千代田区","神田駿河台","２丁目９","1018911","101  ","神田",0,0,1
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｲ･ｲ-ｼ-","株式会社　アイ・イーシー","東京都","千代田区","飯田橋","４－４－１５","1028103","102  ","麹町",0,0,1
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｼﾞﾐｼﾖﾎﾞｳ","株式会社　富士見書房","東京都","千代田区","富士見","１－１２－１４","1028144","102  ","麹町",0,0,1
13101,"ﾄｳｷﾖｳｾ-ﾙｽ･ﾌﾟﾛﾃﾞﾕ-ｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","東京セールス・プロデュース　株式会社","東京都","千代田区","神田小川町","１丁目１１ＤＭＳビル内（銀座郵便局私書箱第９９０号）","1008640","104  ","銀座",1,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾂｸ","株式会社　デック","東京都","中央区","銀座","６丁目３－１２数寄屋ビル８Ｆ（神田郵便局私書箱第２０号）","1018665","101  ","神田",1,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾀｶｼﾏﾔ","株式会社　高島屋","東京都","中央区","日本橋","２丁目４－１","1038265","103  ","日本橋",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾐｽﾞﾎｺ-ﾎﾟﾚ-ﾄｷﾞﾝｺｳ","株式会社　みずほコーポレート銀行","東京都","中央区","八重洲","１丁目２－１６（日本橋郵便局私書箱第１４７号）","1038677","103  ","日本橋",1,0,1
13102,"ｻﾄｳｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","佐藤工業　株式会社","東京都","中央区","日本橋本町","４丁目１２－２０（日本橋郵便局私書箱第９３号）","1038639","103  ","日本橋",1,0,1
13102,"ﾆﾂｼﾝﾎﾞｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","日清紡　株式会社","東京都","中央区","日本橋人形町","２丁目１３－１１（日本橋郵便局私書箱第１００号）","1038650","103  ","日本橋",1,0,1
13102,"ﾉﾑﾗｼﾖｳｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","野村証券　株式会社","東京都","中央区","日本橋","１丁目９－１（日本橋郵便局私書箱第３３号）","1038011","103  ","日本橋",1,0,1
13102,"ｴﾊﾞﾗｼﾞﾂｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","荏原実業　株式会社","東京都","中央区","銀座","７丁目１４番１号","1048174","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾝﾂｳﾌｱｼﾘﾃｲﾏﾈｼﾞﾒﾝﾄ","株式会社　電通ファシリティマネジメント","東京都","中央区","銀座","２丁目１６－７","1048106","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾋｻﾔﾀﾞｲｺｸﾄﾞｳ","株式会社　ヒサヤ大黒堂","東京都","中央区","銀座","１丁目６－１クレッセントビル３Ｆ","1048240","104  ","銀座",0,0,1
