13104,"160  ","1600008","ﾄｳｷｮｳﾄ","ｼﾝｼﾞｭｸｸ","ｻﾝｴｲﾁｮｳ","東京都","新宿区","三栄町",0,0,0,0,2,6
28109,"65111","6511102","ﾋｮｳｺﾞｹﾝ","ｺｳﾍﾞｼｷﾀｸ","ﾔﾏﾀﾞﾁｮｳｼﾓﾀﾆｶﾞﾐ(ｵｵｶﾐﾀﾞﾆ､ｼｭｳﾎｳｶﾞﾊﾗ､ﾅｶｲﾁﾘﾔﾏ<9ﾊﾞﾝﾁﾉ4､12ﾊﾞﾝﾁｦﾉｿﾞｸ>ﾅｶﾞ","兵庫県","神戸市北区","山田町下谷上（大上谷、修法ケ原、中一里山「９番地の４、１２番地を除く」長",1,1,0,0,2,6
28109,"65111","6511102","ﾋｮｳｺﾞｹﾝ","ｺｳﾍﾞｼｷﾀｸ","ｵﾔﾏ､ﾌﾀﾀﾋﾞｺｳｴﾝ)","兵庫県","神戸市北区","尾山、再度公園）",1,1,0,0,2,6
28109,"652  ","6520071","ﾋｮｳｺﾞｹﾝ","ｺｳﾍﾞｼｷﾀｸ","ﾔﾏﾀﾞﾁｮｳｼﾓﾀﾆｶﾞﾐ(ｷｸｽｲﾔﾏ､ｺｳｻﾞｶﾜﾑｶｲ､ﾅｶｲﾁﾘﾔﾏ<9ﾊﾞﾝﾁﾉ4､12ﾊﾞﾝﾁ>ﾈﾝﾌﾞﾂﾄﾞｳ､","兵庫県","神戸市北区","山田町下谷上（菊水山、高座川向、中一里山「９番地の４、１２番地」念仏堂、",1,1,0,0,2,6
28109,"652  ","6520071","ﾋｮｳｺﾞｹﾝ","ｺｳﾍﾞｼｷﾀｸ","ﾋﾖﾄﾞﾘｺﾞｴ)","兵庫県","神戸市北区","ひよどり越）",1,1,0,0,2,6
