02207,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｺﾏｷｵﾝｾﾝｼﾌﾞｻﾜｺｳｴﾝ","株式会社　古牧温泉渋沢公園","青森県","三沢市","字古間木山","５６","0338688","033  ","三沢",0,0,5
03201,"ﾄｳﾎｸｼｻﾞｲｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","東北資材工業　株式会社","岩手県","盛岡市","乙部","５地割３１０","0200493","02004","乙部",0,0,5
03201,"ﾉｳﾘﾝﾁﾕｳｵｳｷﾝｺ ﾓﾘｵｶｼﾃﾝ","農林中央金庫　盛岡支店","岩手県","盛岡市","内丸","３－４６（盛岡中央郵便局私書箱第３９号）","0208654","02091","盛岡中央",1,0,5
03205,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｵﾀﾞｼﾞﾏ","株式会社　小田島","岩手県","花巻市","卸町","６８","0250393","02503","花巻温泉",0,0,5
03209,"ｴﾇｲ-ｼ-ﾄ-ｷﾝｲﾜﾃ ｶﾌﾞｼｷｶｲｼﾔ ｲﾜﾃｼﾞｷﾞﾖｳｼﾖ","ＮＥＣトーキン岩手　株式会社　岩手事業所","岩手県","一関市","字柄貝","１","0218567","021  ","一関",0,0,5
04103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾗﾌﾟﾗｽ","株式会社　ラプラス","宮城県","仙台市若林区","新寺","２丁目１－５","9848515","984  ","若林",0,0,5
04103,"ﾀｲﾖｳｻﾝｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","太陽産業　株式会社","宮城県","仙台市若林区","六丁の目中町","１－７","9848535","984  ","若林",0,0,5
04103,"ﾄﾗｽｺﾅｶﾔﾏ ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾝﾀﾞｲｼﾃﾝ","トラスコ中山　株式会社　仙台支店","宮城県","仙台市若林区","卸町東","３丁目２－２３","9848502","984  ","若林",0,0,5
04103,"ﾒｲｼﾞﾔｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳﾎｸｼｼﾔ","明治屋商事　株式会社　東北支社","宮城県","仙台市若林区","六丁目","字南９７－３ｅ－環境仙台ビル３Ｆ","9848521","984  ","若林",0,0,5
04205,"ｹｾﾝﾇﾏｼｷﾖｳｲｸｲｲﾝｶｲ","気仙沼市教育委員会","宮城県","気仙沼市","八日町","１丁目１番１０号","9888502","988  ","気仙沼",0,0,5
04212,"ﾄﾒｼﾘﾂ ﾄﾖﾏﾋﾞﾖｳｲﾝ","登米市立　登米病院","宮城県","登米市","登米町寺池","桜小路１００（登米郵便局私書箱第３号）","9870793","98707","登米",1,0,5
05201,"ｶﾌﾞｼｷｶｲｼﾔ ｲﾄ-ﾖ-ｶﾄﾞ- ｱｷﾀﾃﾝ","株式会社　イトーヨーカドー　秋田店","秋田県","秋田市","中通","２丁目８－１","0108522","010  ","秋田中央",0,0,5
05201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼｸﾞﾏ ｿﾘﾕ-ｼﾖﾝｽﾞ","（株）　シグマ　ソリューションズ","秋田県","秋田市","大町","２丁目３－２７","0108564","010  ","秋田中央",0,0,5
