13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾆﾕ-ｽ ﾂｳｼﾝｼﾔ","株式会社　東京ニュース　通信社","東京都","中央区","銀座","７丁目１６番３号日鐵木換ビル","1048415","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｾｲｼﾔ","株式会社　東成社","東京都","中央区","銀座","８丁目１０－７東成ビル５Ｆ","1048183","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾆﾎﾝｹｲｻﾞｲｼﾔ","株式会社　日本経済社","東京都","中央区","銀座","７丁目１３－２０","1048176","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾉｴﾋﾞｱ","株式会社　ノエビア","東京都","中央区","銀座","７丁目６－１５","1048208","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊｸﾋﾝｶﾝ","株式会社　博品館","東京都","中央区","銀座","８丁目８－１１","1048132","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｼﾞﾔ","株式会社　不二家","東京都","中央区","銀座","７丁目２－１７","1048181","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎｳｹﾝ","株式会社　法研","東京都","中央区","銀座","１丁目１０－１","1048104","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏｶﾞｼﾞﾝﾊｳｽ","株式会社　マガジンハウス","東京都","中央区","銀座","３丁目１３－１０","1048003","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾂｻﾞｶﾔ ｷﾞﾝｻﾞﾃﾝ","株式会社　松坂屋　銀座店","東京都","中央区","銀座","６丁目１０－１","1048166","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾂｻﾞｶﾔ ﾎｳｼﾞﾝｶﾞｲｼﾖｳﾄｳｶﾂﾌﾞ","株式会社　松坂屋　法人外商統括部","東京都","中央区","銀座","５丁目９－９松坂屋第二別館","1048163","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾂﾔ ｷﾞﾝｻﾞﾎﾝﾃﾝ","株式会社　松屋　銀座本店","東京都","中央区","銀座","３丁目６－１","1048130","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾐﾂｺｼ ｷﾞﾝｻﾞﾃﾝ","株式会社　三越　銀座店","東京都","中央区","銀座","４丁目６－１６","1048212","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖﾐｳﾘｺｳｺｸｼﾔ","株式会社　読売広告社","東京都","中央区","銀座","１丁目８－１４","1048164","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾘｸﾙ-ﾄ ｷﾞﾝｻﾞﾊﾂﾁﾖｳﾒﾋﾞﾙ","株式会社　リクルート　銀座８丁目ビル","東京都","中央区","銀座","８丁目４－１７","1048001","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾘｺ- ｷﾞﾝｻﾞｼﾞｷﾞﾖｳｼﾖ","株式会社　リコー　銀座事業所","東京都","中央区","銀座","６丁目１４－６リコー三愛ビル","1048155","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾘｺ- ﾎﾝｼﾔｼﾞｷﾞﾖｳｼﾖ","株式会社　リコー　本社事業所","東京都","中央区","銀座","８丁目１３－１リコービル","1048222","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾜｺｳ","株式会社　和光","東京都","中央区","銀座","４丁目５－１１","1048105","104  ","銀座",0,0,1
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾜｼﾝﾄﾝｸﾂﾃﾝ","株式会社　ワシントン靴店","東京都","中央区","銀座","５丁目７－７","1048102","104  ","銀座",0,0,1
13102,"ｷﾀﾉｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾎﾝｼﾔ","北野建設　株式会社　東京本社","東京都","中央区","銀座","１丁目９番２号","1048116","104  ","銀座",0,0,1
13102,"ｷﾖｳﾄﾞｳﾋﾟ-ｱ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","共同ピーアール　株式会社","東京都","中央区","銀座","７丁目２－２２同和ビル４Ｆ","1048158","104  ","銀座",0,0,1
13102,"ｷﾖｳﾜﾋﾟ-･ｱ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","共和ピー・アール　株式会社","東京都","中央区","銀座","７丁目２番２２号同和ビル５Ｆ","1048206","104  ","銀座",0,0,1
13102,"ｺｳｴｷｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ﾄﾐﾝｹﾞｷｼﾞﾖｳ","公益財団法人　都民劇場","東京都","中央区","銀座","５丁目１－７数寄屋橋ビル６階","1048077","104  ","銀座",0,0,1
13102,"ｺｳｺｸｼﾔ ｶﾌﾞｼｷｶﾞｲｼﾔ","廣告社　株式会社","東京都","中央区","銀座","６丁目８番７号交詢ビル","1048111","104  ","銀座",0,0,1
13102,"ｺﾞｳﾄﾞｳｼﾕｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","合同酒精　株式会社","東京都","中央区","銀座","６丁目２番１０号","1048162","104  ","銀座",0,0,1
13102,"ｼﾔﾀﾞﾝﾎｳｼﾞﾝ ｺｳｶｲｹｲｴｲｼﾄﾞｳｷﾖｳｶｲ","社団法人　公開経営指導協会","東京都","中央区","銀座","２丁目１０－１８東京都中小企業会館６Ｆ","1048114","104  ","銀座",0,0,1
13102,"ｽﾄﾂｸﾌﾟﾗｽ","ストックプラス","東京都","中央区","銀座","５丁目１５－１南海東京ビル１Ｆ","1048238","104  ","銀座",0,0,1
13102,"ｾｲｺ-ﾎ-ﾙﾃﾞｲﾝｸﾞｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","セイコーホールディングス　株式会社","東京都","中央区","銀座","４丁目５－１１","1048129","104  ","銀座",0,0,1
13102,"ｿﾏ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","ソマール　株式会社","東京都","中央区","銀座","４丁目１１－２","1048109","104  ","銀座",0,0,1
13102,"ﾀﾞｲﾜｼﾞﾄﾞｳｼﾔｺｳﾂｳ ｶﾌﾞｼｷｶｲｼﾔ","大和自動車交通　株式會社","東京都","中央区","銀座","１丁目９番７号","1048117","104  ","銀座",0,0,1
13102,"ﾁﾕｳｴﾂﾊﾟﾙﾌﾟｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","中越パルプ工業　株式会社","東京都","中央区","銀座","２丁目１０番６号","1048124","104  ","銀座",0,0,1
13102,"ﾁﾕｳｵｳｾﾝｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","中央宣興　株式会社","東京都","中央区","銀座","２丁目６－１","1048211","104  ","銀座",0,0,1
13102,"ﾁﾖﾀﾞｺｳﾊﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","千代田工販　株式会社","東京都","中央区","銀座","７丁目１３－８第２丸高ビル３Ｆ","1048115","104  ","銀座",0,0,1
13102,"ﾃﾞﾝｹﾞﾝｶｲﾊﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ","電源開発　株式会社","東京都","中央区","銀座","６丁目１５－１","1048165","104  ","銀座",0,0,1
13102,"ﾄｳｴｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","東映　株式会社","東京都","中央区","銀座","３丁目２－１７","1048108","104  ","銀座",0,0,1
13102,"ﾄｳｷﾖｳｶｲｼﾞﾖｳﾆﾁﾄﾞｳｶｻｲﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","東京海上日動火災保険　株式会社","東京都","中央区","銀座","５丁目１３番７号","1048151","104  ","銀座",0,0,1
13102,"ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾞﾝｻﾞｼﾃﾝ","東京電力　株式会社　銀座支店","東京都","中央区","銀座","３丁目３－１８","1048133","104  ","銀座",0,0,1
13102,"ﾆﾂﾎﾟｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","日放　株式会社","東京都","中央区","銀座","６丁目１７番２号（日産ビルネット館－２）","1048167","104  ","銀座",0,0,1
13102,"ﾆﾂﾎﾟﾝﾈﾝｷﾝｷｺｳ ﾁﾕｳｵｳﾈﾝｷﾝｼﾞﾑｼﾖ","日本年金機構　中央年金事務所","東京都","中央区","銀座","７丁目１３－８第２丸高ビル","1048175","104  ","銀座",0,0,1
13102,"ﾊﾝﾜｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶｲｼﾔ","阪和興業　株式会社","東京都","中央区","銀座","６丁目１８番２号銀座ＭＴＲビル","1048429","104  ","銀座",0,0,1
13102,"ﾌｸﾄｸﾁﾖｳｼﾕﾙｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","福徳長酒類　株式会社","東京都","中央区","銀座","６丁目２－１０","1048205","104  ","銀座",0,0,1
13102,"ﾌｼﾞｶｻｲｶｲｼﾞﾖｳﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","富士火災海上保険　株式会社","東京都","中央区","銀座","２丁目１２－１８","1048122","104  ","銀座",0,0,1
13102,"ﾔﾏﾄｳﾝﾕ ｶﾌﾞｼｷｶﾞｲｼﾔ","ヤマト運輸　株式会社","東京都","中央区","銀座","２丁目１６番１０号","1048125","104  ","銀座",0,0,1
13102,"ﾕ-.ｱｲ.ﾋﾟ-ｴｲｶﾞ","ＵＩＰ映画","東京都","中央区","銀座","５丁目１４－１（銀座クイント）","1048123","104  ","銀座",0,0,1
13102,"ﾘｺ-ｼﾞﾔﾊﾟﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","リコージャパン　株式会社","東京都","中央区","銀座","８－１３－１","1048180","104  ","銀座",0,0,1
13102,"ﾘｺ-ﾘ-ｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","リコーリース　株式会社","東京都","中央区","銀座","７丁目１６－３","1048134","104  ","銀座",0,0,1
