13109,"ｷﾖｳｾﾗｹﾐｶﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","京セラケミカル　株式会社","東京都","品川区","東品川","３－３２－４２","1408860","140  ","品川",0,0,5
13109,"ｷﾖｳｾﾗｻ-ｷﾂﾄｿﾘﾕ-ｼﾖﾝｽﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","京セラサーキットソリューションズ　株式会社","東京都","品川区","東品川","３－３２－４２","1408830","140  ","品川",0,0,5
13109,"ﾐﾂﾋﾞｼｴﾝﾋﾟﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ","三菱鉛筆　株式会社","東京都","品川区","東大井","５丁目２３番３７号","1408537","140  ","品川",0,0,5
13109,"ﾈﾂﾄﾜﾝｼｽﾃﾑｽﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","ネットワンシステムズ　株式会社","東京都","品川区","東品川","２丁目２－８","1408621","14000","品川",0,0,5
13109,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾛ-ｿﾝﾏ-ﾄ","株式会社　ローソンマート","東京都","品川区","大崎","１丁目１１番２号","1418613","141  ","大崎",0,0,5
13109,"ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ ｼﾅｶﾞﾜｼｼﾔ","東京電力　品川支社","東京都","品川区","西五反田","５丁目３－１","1418507","141  ","大崎",0,0,5
13111,"ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾅｶﾞﾜｼｼﾔ ｵｵﾀｴｲｷﾞﾖｳｾﾝﾀ-","東京電力　株式会社　品川支社　大田営業センター","東京都","大田区","池上","５丁目１２－１７","1468610","146  ","千鳥",0,0,5
13113,"ｱｲｵｲｿﾝｶﾞｲﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","あいおい損害保険　株式会社","東京都","渋谷区","恵比寿","１丁目２８－１","1508488","150  ","渋谷",0,0,5
13115,"ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳｼﾃﾝｵｷﾞｸﾎﾞｼｼﾔ","東京電力　株式会社　東京支店荻窪支社","東京都","杉並区","南荻窪","４丁目４０－１１","1678534","167  ","荻窪",0,0,5
13118,"ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳｺｳｼﾞｾﾝﾀ-","東京電力　株式会社　東京工事センター","東京都","荒川区","東尾久","５丁目３１－１１","1168550","116  ","荒川",0,0,5
14113,"ﾄｳｷﾖｳｺｳｷﾞﾖｳﾀﾞｲｶﾞｸ ｾｲﾒｲﾘｺｳｶﾞｸﾌﾞ","東京工業大学　生命理工学部","神奈川県","横浜市緑区","長津田町","４２５９","2268501","226  ","緑",0,0,5
14113,"ﾄｳｷﾖｳｺｳｷﾞﾖｳﾀﾞｲｶﾞｸ ｿﾉﾀ","東京工業大学　その他","神奈川県","横浜市緑区","長津田町","４２５９","2268503","226  ","緑",0,0,5
14113,"ﾄｳｷﾖｳｺｳｷﾞﾖｳﾀﾞｲｶﾞｸ ﾀﾞｲｶﾞｸｲﾝｿｳｺﾞｳﾘｺｳｶﾞｸｹﾝｷﾕｳｶ","東京工業大学　大学院総合理工学研究科","神奈川県","横浜市緑区","長津田町","４２５９","2268502","226  ","緑",0,0,5
17210,"ﾊｸｻﾝｼ ｵｸﾞﾁｼﾐﾝｻ-ﾋﾞｽｾﾝﾀ-","白山市　尾口市民サービスセンター","石川県","白山市","女原","ト４６番地","9202395","92023","吉野",0,0,5
18210,"ﾀｹﾌﾐｸﾆﾓ-ﾀ-ﾎﾞ-ﾄｷﾖｳｿｳｾｺｳｸﾐｱｲ","武生三国モーターボート競走施行組合","福井県","坂井市","三国町池上","８０－１","9138533","913  ","三国",0,0,5
20201,"ﾐﾔﾏ ｶﾌﾞｼｷｶﾞｲｼﾔ","ミヤマ　株式会社","長野県","長野市","丹波島","１丁目１－１２","3812283","38122","長野南",0,0,5
23216,"ﾄｺﾅﾒｼｷﾖｳﾃｲｼﾞｷﾞﾖｳﾌﾞ (ﾄｺﾅﾒｷﾖｳﾃｲ)","常滑市競艇事業部　（常滑競艇）","愛知県","常滑市","新開町","４丁目１１１","4798501","479  ","常滑",0,0,5
25201,"ﾆﾂﾎﾟﾝﾈﾝｷﾝｷｺｳ ｼｶﾞｼﾞﾑｾﾝﾀ-","日本年金機構　滋賀事務センター","滋賀県","大津市","梅林","１丁目３－１０","5208515","520  ","大津中央",0,0,5
27209,"ｶﾝｻｲｲｶﾀﾞｲｶﾞｸﾌｿﾞｸﾋﾞﾖｳｲﾝ","関西医科大学附属病院","大阪府","守口市","文園町","１０－１５","5708507","570  ","守口",0,0,5
28203,"ｼﾝｷﾔﾀﾋﾟﾗ-ﾐﾂﾋﾞｼ ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｶｼｼﾞｷﾞﾖｳｼﾖ","新キャタピラー三菱　株式会社　明石事業所","兵庫県","明石市","魚住町清水","１１０６－４（明石西郵便局私書箱第６号）","6748686","674  ","明石西",1,0,5
30201,"ｴﾇｹｲﾜ-ｸｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＮＫワークス　株式会社","和歌山県","和歌山市","梅原","５７９－１","6408550","640  ","和歌山中央",0,0,5
33102,"ｼﾔﾀﾞﾝﾎｳｼﾞﾝ ｵｶﾔﾏｹﾝｲｼｶｲ","社団法人　岡山県医師会","岡山県","岡山市中区","古京町","１丁目１番１０－６０２号","7038522","703  ","岡山東",0,0,5
36201,"ﾄｸｼﾏﾀﾞｲｶﾞｸﾌﾞﾝｼｺｳｿｶﾞｸｹﾝｷﾕｳｾﾝﾀ-","徳島大学分子酵素学研究センター","徳島県","徳島市","蔵本町","３丁目１８－１５","7708503","770  ","徳島中央",0,0,5
40132,"ﾌｸｵｶｼｺｳﾜﾝｷﾖｸ","福岡市港湾局","福岡県","福岡市博多区","沖浜町","１２番１号","8128620","812  ","博多北",0,0,5
